,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,2.876505271218835e-05,2.9124479416299703e-05,2.927771716766596e-05,2.943550395689008e-05,2.8741654264601933e-05,2.8681206659236306e-05,2.8432464785533057e-05,2.9781637173247366e-05,2.776430327600223e-05,2.7518959557767835e-05,2.7195942882966107e-05,2.730486845787437e-05,2.7442093681446256e-05,2.793529269353921e-05,2.765006767973944e-05,2.782839949398809e-05,3.06296119007003e-05,2.7165928683937516e-05
1,3.0759514849491295e-05,3.110676445847311e-05,3.128819034178094e-05,2.8801090217838108e-05,2.8741652450094936e-05,3.17274518158485e-05,2.8432467561089182e-05,2.8067974161319283e-05,2.7763132633813266e-05,2.7518714945343602e-05,2.7219712132075505e-05,2.7304880002573613e-05,2.7442208768668052e-05,3.360454753200136e-05,2.7660717612043064e-05,3.3846403568309156e-05,2.7710257969377482e-05,2.7165927047456794e-05
2,3.2935475526346926e-05,3.337402275439652e-05,3.358966957248662e-05,2.880109185672424e-05,2.874165244076108e-05,2.86812076872661e-05,2.8432475720746448e-05,2.8067981799465767e-05,2.776315027505761e-05,2.7519047007536967e-05,2.722248062722606e-05,2.7304885537034385e-05,2.7442211903662422e-05,2.774878860611123e-05,2.7660718652377214e-05,3.678003838175247e-05,2.76709772720991e-05,2.7165921517751014e-05
3,3.5430844814840654e-05,3.599480927636012e-05,3.625702821069483e-05,2.880110219788334e-05,2.8741651138938203e-05,3.70125841417807e-05,2.8432549720908545e-05,2.8067984454514382e-05,3.653864236884325e-05,2.7519110970052444e-05,3.6014914754284755e-05,2.7304888188735303e-05,2.744221191049115e-05,2.7748786039156865e-05,2.766071866998956e-05,2.7635874302623818e-05,2.7386345999138955e-05,2.7165906298807328e-05
4,3.8176567754237526e-05,3.905728198413099e-05,2.8758585142619378e-05,2.880109022034879e-05,2.874165114356905e-05,2.8681206617730187e-05,2.8432469560924047e-05,2.8067984704038992e-05,3.958912251251123e-05,2.751912949961159e-05,3.87880735733121e-05,2.730488821202982e-05,2.7442212008971054e-05,2.7748760735958696e-05,2.766071918719535e-05,4.451718764039624e-05,2.7555457326357142e-05,2.7165256651019916e-05
5,2.8276580358564078e-05,2.820114156032854e-05,2.8758585153537842e-05,2.8801090231500054e-05,2.874165023442699e-05,2.86812065959498e-05,2.8432466040842715e-05,2.806798466517375e-05,4.3215690206337e-05,2.7519108048406226e-05,2.7222509346560102e-05,2.7304889020102176e-05,2.744221226373557e-05,2.7748782595247686e-05,2.7660719194788358e-05,2.784285171491535e-05,5.389971567213885e-05,2.71659059319702e-05
6,4.64238071864601e-05,2.873829238284825e-05,2.8758585154069488e-05,2.8801089456795467e-05,2.8741649638898463e-05,2.8681206607469687e-05,2.8432464999264078e-05,2.806798473030776e-05,2.7581637670379535e-05,2.7519113583331565e-05,4.5813552464962616e-05,2.730488952314966e-05,2.7442212218912388e-05,2.7748771595606384e-05,2.6625186649501464e-05,2.7595148157622204e-05,2.7837083255082544e-05,2.7165921734989087e-05
7,2.8920978075411993e-05,2.8745325058518585e-05,2.8758585148947506e-05,2.8801089469941937e-05,2.8741649620057625e-05,2.868120659640531e-05,2.8432463538286688e-05,2.8067984811267167e-05,2.763009548861733e-05,2.7519131059846947e-05,2.7222499241914375e-05,2.7304889518551575e-05,2.7442212279563518e-05,2.774878366428019e-05,2.5527768893385713e-05,2.778850416000495e-05,2.7626692645773154e-05,2.697795334437524e-05
8,2.8932257721400004e-05,2.8662686388458093e-05,2.8758585150402682e-05,2.8801089401639284e-05,2.874164963539975e-05,2.8681206602452325e-05,2.8432463558183333e-05,2.8067984933811516e-05,2.7550741773777837e-05,2.751913105803396e-05,2.72057015724573e-05,2.7304889507567512e-05,2.7442212224021403e-05,2.774876810784096e-05,2.7641216563748883e-05,2.7789465877490202e-05,2.7283992926356614e-05,2.6748611057991576e-05
9,-1.0657711986673174e-05,6.814469185064004e-05,2.8758585150179922e-05,2.880108916958131e-05,2.874164927647886e-05,2.868120661735089e-05,2.843246279009617e-05,2.8067985236830824e-05,2.763693323393239e-05,2.751913200127776e-05,2.7205680949900475e-05,2.7304889666985882e-05,2.744221458356125e-05,2.7748784431117094e-05,2.76412196732356e-05,2.7959487579538625e-05,2.728399322580987e-05,2.6951774931242084e-05
10,-6.680797592037344e-06,2.8731859570155078e-05,2.8758585151125594e-05,2.8801089153376505e-05,2.8741649187595436e-05,2.8681206618668134e-05,2.843624220433163e-05,2.8067985029928685e-05,2.769857017905758e-05,2.7519132026469383e-05,2.723074476828507e-05,-5.558139494217637e-06,2.744221259865303e-05,-4.9371593149474465e-06,2.764797432397596e-05,2.8101919170871812e-05,2.7283993227139877e-05,2.698393794836086e-05
11,2.8848575428778996e-05,2.8762081280461206e-05,2.8758585113611094e-05,2.8801089012593887e-05,2.8741649030433308e-05,2.868120661840064e-05,2.8507349826123534e-05,2.8067985048970748e-05,2.7494284130750064e-05,2.751913945415968e-05,-5.071979532232075e-06,2.7215969340511724e-05,-4.846308386687757e-06,-4.9513272340372295e-06,-4.405293636474993e-06,2.7524286232716653e-05,2.7283993237153544e-05,2.6977064548855863e-05
12,2.896263168559015e-05,2.876207690097671e-05,2.8758585076842228e-05,-9.489129556741981e-06,2.874164900867503e-05,2.8681206618289486e-05,2.8432461995849923e-05,-5.195209965663789e-06,2.746759269365967e-05,2.751913206682947e-05,-4.716377272645494e-06,-4.6601942466144635e-06,-4.528882265170455e-06,-4.169886904462252e-06,-4.073141074861758e-06,2.7524287415774123e-05,2.728399380392027e-05,-2.5149491045509395e-05
13,2.896262941572029e-05,2.876207011869438e-05,2.87585850972862e-05,-8.721863681105306e-06,2.8741648885889253e-05,2.8681206629873797e-05,-9.492954477204433e-06,-4.802832744023196e-06,2.776310230993456e-05,2.751913119063329e-05,2.7222523105654728e-05,-4.375116522058433e-06,-4.0922885688717415e-06,-4.0202317433135315e-06,-3.941897361096128e-06,2.7524295941087546e-05,2.728399382757811e-05,-2.2179314604538115e-05
14,2.8962626252841988e-05,2.8762053869806104e-05,2.8758585100182664e-05,-7.664861385953473e-06,2.87416495255148e-05,2.8681206626755262e-05,-8.686397673682742e-06,-4.40721312882366e-06,2.7763079264667683e-05,2.7519131180067204e-05,2.7222523202014785e-05,-4.076715448635388e-06,2.744357243917266e-05,-4.089328256184052e-06,-3.8791836499205e-06,2.752429513659497e-05,2.7283993289757282e-05,2.695885534870316e-05
15,2.89626141476234e-05,2.8759191610322654e-05,2.875858495682555e-05,-6.747488094698544e-06,2.8741650256392458e-05,2.8679706959039467e-05,-4.222755550439181e-06,-4.145965130974472e-06,2.7763028764329018e-05,2.751913127699537e-05,2.7222523170044987e-05,-3.7808725267753284e-06,-3.716233498488214e-06,-3.921163612695245e-06,-3.7949652764533307e-06,2.752428919379405e-05,2.7283993078472272e-05,2.682621811042933e-05
16,2.896248070909881e-05,2.8759191739141132e-05,-4.865551135318497e-06,-4.2077488251009815e-06,2.874164879299538e-05,2.8681206616073797e-05,-1.0400590587869335e-05,-3.946853976655817e-06,2.7698514275447746e-05,-3.76479863401122e-06,2.722252223706815e-05,-3.6180830379965236e-06,-3.652575939432371e-06,-3.68909772358346e-06,-3.603731943559268e-06,2.7524286091032005e-05,2.7214877669811513e-05,-1.6499758914438975e-05
17,2.8962604353366777e-05,2.8762034347300998e-05,2.8758585085188087e-05,-4.87205849085857e-06,2.874164988507086e-05,2.8681206632239936e-05,-3.794692918261952e-06,-3.675953564144012e-06,2.7698254839734423e-05,-3.6885524951935088e-06,2.7235531278345542e-05,-3.2746135203626545e-06,-3.6267742165730396e-06,-3.487711948567576e-06,-3.4570756889015618e-06,2.7574422156881156e-05,-1.681700408053546e-05,-1.3426824621897403e-05
