,PCPI_IX_US,NGDP_R_SA_XDC_US,PCPI_IX_GB,NGDP_R_SA_XDC_GB,date
0,58.7159385263538,2341064.8,58.5907157388571,326896,1990-01-01
1,59.3121170221954,2349560.8,60.8840392084335,328047,1990-04-01
2,60.3363211047952,2351123.5,61.8087664139079,324080,1990-07-01
3,61.3146653030995,2329719,63.103384501572,322743,1990-10-01
4,61.8191240303501,2318819,63.5102644719808,321164,1991-01-01
5,62.1860031047142,2336899.3,65.6186425004624,319958,1991-04-01
6,62.6751752038663,2348708.5,66.3214351766229,319027,1991-07-01
7,63.1490606749199,2356895.3,67.1721842056593,319668,1991-10-01
8,63.5923728897765,2385111,67.4680969114112,319525,1992-01-01
9,64.1121182451257,2410973.3,68.8736822637322,318481,1992-04-01
10,64.6165769723763,2434796.3,68.9476604401701,320240,1992-07-01
11,65.0751758153314,2460188.3,69.3915294987979,321960,1992-10-01
12,65.6254944268776,2464296.3,69.5764749398927,324111,1993-01-01
13,66.1299531541282,2478641.3,70.5012021453671,325394,1993-04-01
14,66.3898258318028,2490468.3,70.686147586462,327863,1993-07-01
15,66.8484246747579,2524340.5,70.9450712039948,329789,1993-10-01
16,67.276450261516,2548834.5,71.2409839097466,333269,1994-01-01
17,67.7044758482741,2583373.8,72.165711115221,336803,1994-04-01
18,68.3006543441158,2598474.5,72.128722027002,340451,1994-07-01
19,68.6216735341843,2628240.5,72.4246347327538,342104,1994-10-01
20,69.187278773829,2637562.8,72.9424819678195,342962,1995-01-01
21,69.7987438977692,2645430.8,73.9411873497318,343589,1995-04-01
22,70.1044764597392,2667934.5,74.2371000554836,347031,1995-07-01
23,70.4407822779063,2686050.8,74.6069909376734,347651,1995-10-01
24,71.0828206580435,2706168.5,75.0878490845201,349056,1996-01-01
25,71.7860055505747,2751304.3,76.0495653782134,349195,1996-04-01
26,72.1681712530373,2775983.8,76.1975217310893,352909,1996-07-01
27,72.6879166083864,2804809.5,76.8263362308119,356423,1996-10-01
28,73.1770887075385,2822916.3,76.9003144072499,361885,1997-01-01
29,73.4675346414101,2869832.5,77.6031070834104,365725,1997-04-01
30,73.7579805752817,2905727.8,77.9729979656002,369141,1997-07-01
31,74.0484265091533,2930680.5,78.3798779360089,374512,1997-10-01
32,74.2471526744338,2959969,78.3428888477899,376761,1998-01-01
33,74.6446050049949,2987373,79.1936378768263,378766,1998-04-01
34,74.9350509388665,3024797.8,79.2676160532643,379906,1998-07-01
35,75.194923616541,3073684.3,79.711485111892,382282,1998-10-01
36,75.4853695504126,3102694.5,79.8964305529869,385025,1999-01-01
37,76.2191276991408,3128602,80.6732014055853,386581,1999-04-01
38,76.6930131701944,3169994.3,80.5622341409284,393078,1999-07-01
39,77.1668986412481,3222070.3,80.9321250231182,398776,1999-10-01
40,77.9312300461733,3233813,80.7841686702423,403407,2000-01-01
41,78.7567079634925,3292687.3,81.5239504346218,406049,2000-04-01
42,79.3834597155312,3295972.5,81.5239504346218,408120,2000-07-01
43,79.8114853022893,3315562.5,82.0417976696875,409871,2000-10-01
44,80.5758167072145,3304812.8,81.7828740521546,413381,2001-01-01
45,81.4165812526322,3325348.5,82.9665248751618,414894,2001-04-01
46,81.5235876493217,3312035.5,82.9665248751618,416803,2001-07-01
47,81.2942882278441,3321220.3,83.1514703162567,417480,2001-10-01
48,81.5847341617157,3348727.5,83.2254484926947,418930,2002-01-01
49,82.4713585914289,3369339,84.0392084335121,421133,2002-04-01
50,82.8229510376945,3382935.3,84.1131866099501,424190,2002-07-01
51,83.0828237153691,3387355.3,84.5200665803588,427745,2002-10-01
52,83.9235882607868,3404858.5,84.4830774921398,430454,2003-01-01
53,84.2293208227569,3435276.8,85.1858701683004,434140,2003-04-01
54,84.6420597814165,3492539.3,85.2228592565193,438419,2003-07-01
55,84.657346409515,3532844.8,85.6297392269281,441827,2003-10-01
56,85.4216778144402,3553085,85.6297392269281,443792,2004-01-01
57,86.6446080623205,3580754.3,86.3325319030886,446140,2004-04-01
58,86.9503406242906,3614458,86.3695209913076,447205,2004-07-01
59,87.4700859796397,3651398.8,86.9243573145922,448619,2004-10-01
60,88.0204045911859,3691961.5,87.1462918439061,451985,2005-01-01
61,89.1974749547707,3709926.8,87.9970408729425,456263,2005-04-01
62,90.2828255497645,3739072.8,88.4409099315702,460177,2005-07-01
63,90.7414243927196,3760308,88.8847789901979,464981,2005-10-01
64,91.2305964918717,3811022,88.9957462548548,466584,2006-01-01
65,92.7745459298206,3820381.3,90.1424079896431,467684,2006-04-01
66,93.2942912851698,3826129.3,90.6972443129277,468351,2006-07-01
67,92.4993866240475,3858410.8,91.2890697244313,470396,2006-10-01
68,93.4421129788823,3869739,91.4740151655262,475292,2007-01-01
69,95.2337057920269,3894444.8,92.4357314592195,478424,2007-04-01
70,95.4964829290402,3917901.3,92.4727205474385,482064,2007-07-01
71,96.1756678154568,3941786.5,93.3604586646939,485249,2007-10-01
72,97.2689674570618,3925726.5,93.8043277233216,487601,2008-01-01
73,99.4043565361418,3948193.3,95.5428148696135,485278,2008-04-01
74,100.560484219232,3927390.5,96.6154984279638,477935,2008-07-01
75,97.716101328943,3841651.8,96.8004438690586,467250,2008-10-01
76,97.2298336891296,3796868.8,96.5785093397448,458181,2009-01-01
77,98.2607638880927,3790443,97.4662474570002,456867,2009-04-01
78,98.9280252045924,3804161.8,97.8731274274089,457471,2009-07-01
79,99.1270571024349,3844788.8,98.3539855742556,459031,2009-10-01
80,99.524968031839,3864014.8,98.8348437211023,463391,2010-01-01
81,99.9977834389257,3901407,99.9445163676715,468691,2010-04-01
82,100.091031870327,3931570.5,100.166450896985,471664,2010-07-01
83,100.386216658909,3951998.8,101.054189014241,472312,2010-10-01
84,101.65592398877,3942477.8,102.348807101905,473510,2011-01-01
85,103.42810278423,3969209.8,103.680414277788,473773,2011-04-01
86,103.850625184873,3967671,104.272239689292,474501,2011-07-01
87,103.692714316615,4012175.5,105.122988718328,474303,2011-10-01
88,104.517733635091,4044992,105.529868688737,478242,2012-01-01
89,105.382651052905,4063431.5,106.306639541335,477974,2012-04-01
90,105.613784869754,4070537.8,106.602552247087,483913,2012-07-01
91,105.651848573719,4075008.8,107.675235805437,483422,2012-10-01
92,106.275543000138,4110371.3,108.119104864065,484555,2013-01-01
93,106.850473082923,4116100.5,108.821897540226,487845,2013-04-01
94,107.254345797286,4148685.8,109.154799334196,491499,2013-07-01
95,106.955033619117,4178190,109.783613833919,494658,2013-10-01
96,107.769199431643,4163561.8,109.894581098576,499294,2014-01-01
97,109.041811220844,4217027.3,110.597373774736,503659,2014-04-01
